task,accuracy,cohen_kappa,f1_score,precision,recall,matthews_correlation,true_positives,true_negatives,false_positives,false_negatives,positive_agreement,negative_agreement
deepscaler,1.0,1.0,1.0,1.0,1.0,1.0,32,18,0,0,1.0,1.0
skywork,0.96,0.9189627228525121,0.9642857142857143,1.0,0.9310344827586207,0.9219950989667682,27,21,0,2,0.9310344827586207,0.9130434782608695
math,1.0,1.0,1.0,1.0,1.0,1.0,45,5,0,0,1.0,1.0
orz,1.0,1.0,1.0,1.0,1.0,1.0,46,4,0,0,1.0,1.0
Overall,0.99,0.972972972972973,0.9933774834437086,1.0,0.9868421052631579,0.9733285267845753,150,48,0,2,0.9868421052631579,0.96
