task,accuracy,cohen_kappa,f1_score,matthews_correlation,true_positives,true_negatives,false_positives,false_negatives,positive_agreement,negative_agreement
deepscaler,0.98,0.9571183533447685,0.9841269841269841,0.9579995604877577,31,18,1,0,0.96875,0.9473684210526315
skywork,0.88,0.7568881685575365,0.8928571428571429,0.759385734069631,25,19,4,2,0.8064516129032258,0.76
math,0.98,0.8979591836734694,0.9887640449438202,0.90267093384844,44,5,1,0,0.9777777777777777,0.8333333333333334
orz,1.0,1.0,1.0,1.0,46,4,0,0,1.0,1.0
Overall,0.96,0.8933901918976546,0.9733333333333334,0.8946621483168302,146,46,6,2,0.948051948051948,0.8518518518518519
